V1,V2,V3
-14.4983277591973,58,-416.279998779297
-14.4314381270903,58,-365.049987792969
-14.3645484949833,58,-314.690002441406
-14.2976588628763,58,-276.709991455078
-14.2307692307692,58,-252.679992675781
-14.1638795986622,58,-242.039993286133
-14.0969899665552,58,-243.524993896484
-14.0301003344482,58,-230.94499206543
-13.9632107023411,58,-220.674987792969
-13.8963210702341,58,-207.03498840332
-13.8294314381271,58,-200.904998779297
-13.7625418060201,58,-199.924987792969
-13.695652173913,58,-200.595001220703
-13.628762541806,58,-203.134994506836
-13.561872909699,58,-211.525039672852
-13.494983277592,58,-217.09504699707
-13.4280936454849,58,-217.9150390625
-13.3612040133779,58,-226.675048828125
-13.2943143812709,58,-233.175048828125
-13.2274247491639,58,-235.605041503906
-13.1605351170569,58,-248.075042724609
-13.0936454849498,58,-512.855041503906
-13.0267558528428,58,-937.682495117188
-12.9598662207358,58,-1190.6025390625
-12.8929765886288,58,-1376.50244140625
-12.8260869565217,58,-1472.25244140625
-12.7591973244147,58,-1553.3525390625
-12.6923076923077,58,-1628.87243652344
-12.6254180602007,58,-1691.04248046875
-12.5585284280936,58,-1722.79248046875
-12.4916387959866,58,-1727.57604980469
-12.4247491638796,58,-1717.94604492188
-12.3578595317726,58,-1710.51599121094
-12.2909698996656,58,-1708.25610351562
-12.2240802675585,58,-1731.73608398438
-12.1571906354515,58,-1740.31604003906
-12.0903010033445,58,-1740.18603515625
-12.0234113712375,58,-1762.416015625
-11.9565217391304,58,-1793.57287597656
-11.8896321070234,58,-1811.93286132812
-11.8227424749164,58,-1837.95288085938
-11.7558528428094,58,-1860.08288574219
-11.6889632107023,58,-1872.15283203125
-11.6220735785953,58,-1892.7529296875
-11.5551839464883,58,-1923.97290039062
-11.4882943143813,58,-1942.59289550781
-11.4214046822742,58,-1961.74035644531
-11.3545150501672,58,-1974.79028320312
-11.2876254180602,58,-1979.52026367188
-11.2207357859532,58,-1975.0703125
-11.1538461538462,58,-1987.50036621094
-11.0869565217391,58,-2005.41027832031
-11.0200668896321,58,-2026.42028808594
